,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
5099,18384,Srimangal,1956,1,27.8,8.3,11.0,88.0,0.464814815,0.8,6.710714286,41915,675761.6,687095.9,24.29,91.73,23,1956.01,0
5100,2897,Chittagong (IAP-Patenga),1957,6,33.5,25.4,257.0,86.0,4.477777778,5.4,4.254716981,41978,684570.9,471415.0,22.34,91.79,6,1957.06,0
5101,10621,Khulna,1962,2,31.3,15.8,0.0,73.0,0.1,1.5,8.033333333,41947,456632.4,521635.7,22.8,89.58,4,1962.02,0
5102,19957,Tangail,2002,2,31.9,13.9,3.0,73.0,0.5,1.0,9.4,41909,491982.91,683166.0,24.15,89.55,10,2002.02,0
5103,13059,Mongla,2003,4,37.0,25.6,41.0,79.0,2.0,3.3,9.1,41958,452007.3,499110.5,22.43,89.66,4,2003.04,0
5104,1299,Bhola,2009,4,36.8,25.2,117.0,82.0,1.9,2.4,8.3,41951,567637.6,510271.8,22.7,90.66,5,2009.04,0
5105,12281,Maijdee Court,1963,6,34.4,25.8,520.0,89.0,1.7,6.6,3.872413793,41953,610851.8,524433.6,22.83,91.08,6,1963.06,1
5106,8664,Ishurdi,1971,1,25.6,10.2,0.0,72.0,1.2,1.1,6.637931034,41907,402483.2,667640.8,24.12,89.04,14,1971.01,0
5107,18110,Sitakunda,1999,3,36.2,20.3,0.0,76.0,1.6,1.8,6.7,41965,668856.2,504500.3,22.64,91.64,4,1999.03,0
5108,20371,Teknaf,1999,8,32.5,25.4,1395.0,93.0,0.7,6.6,2.7,41998,734765.4,308914.1,20.87,92.26,4,1999.08,1
5109,12696,Maijdee Court,1998,1,28.4,13.9,19.0,84.0,0.7,1.9,5.8,41953,610851.8,524433.6,22.83,91.08,6,1998.01,0
5110,4757,Cox's Bazar,1980,6,33.0,24.8,258.0,87.0,2.0,6.4,0.7,41992,705183.0,374324.6,21.46,91.98,4,1980.06,0
5111,16334,Rangpur,2002,3,34.4,17.9,38.0,71.0,1.2,2.1,8.6,41859,426172.9,844822.3,25.72,89.26,34,2002.03,0
5112,18722,Srimangal,1984,3,37.0,18.3,0.0,58.0,0.8,0.0,7.525,41915,675761.6,687095.9,24.29,91.73,23,1984.03,0
5113,1507,Bogra,1960,8,35.1,26.7,256.0,87.0,1.2,6.5,5.001886792,41883,435303.7,751187.5,24.88,89.36,20,1960.08,0
5114,10839,Khulna,1980,4,37.6,26.1,23.0,81.0,1.6,2.5,8.533333333,41947,456632.4,521635.7,22.8,89.58,4,1980.04,0
5115,2891,Chittagong (IAP-Patenga),1956,12,28.7,15.3,0.0,81.0,1.340740741,0.4,8.012,41978,684570.9,471415.0,22.34,91.79,6,1956.12,0
5116,4387,Cox's Bazar,1949,8,31.7,24.7,683.0,91.0,2.898148148,6.4,4.483018868,41992,705183.0,374324.6,21.46,91.98,4,1949.08,1
5117,9181,Jessore,1948,2,32.4,14.1,58.0,70.0,1.275925926,2.1,7.680851064,41936,420062.7,562498.8,23.17,89.22,7,1948.02,0
5118,9917,Jessore,2009,6,38.3,26.5,175.0,78.0,6.3,4.0,5.9,41936,420062.7,562498.8,23.17,89.22,7,2009.06,0
5119,18728,Srimangal,1984,9,34.5,24.0,481.0,86.0,0.4,0.0,5.028571429,41915,675761.6,687095.9,24.29,91.73,23,1984.09,0
5120,20382,Teknaf,2000,7,33.2,25.2,1457.0,90.0,0.7,6.3,3.5,41998,734765.4,308914.1,20.87,92.26,4,2000.07,1
5121,13047,Mongla,2002,4,36.5,24.2,74.0,80.0,2.3,3.7,9.0,41958,452007.3,499110.5,22.43,89.66,4,2002.04,0
5122,6700,Faridpur,1949,5,33.5,23.6,417.0,84.0,2.016666667,5.3,7.020689655,41929,483877.3,610719.3,23.61,89.84,9,1949.05,1
5123,5177,Dhaka,1954,6,32.8,25.0,810.0,90.0,1.87962963,6.8,4.667924528,41923,540098.6,629248.4,23.78,90.39,9,1954.06,0
5124,4081,Comilla,1990,2,30.5,17.2,21.0,78.0,0.3,2.1,7.9,41933,621445.2,596963.4,23.48,91.19,10,1990.02,0
5125,2098,Bogra,2009,11,34.2,18.8,0.0,75.0,1.6,1.5,6.9,41883,435303.7,751187.5,24.88,89.36,20,2009.11,0
5126,5477,Dhaka,1979,6,37.3,26.2,258.0,83.0,2.2,5.7,4.6,41923,540098.6,629248.4,23.78,90.39,9,1979.06,0
5127,18910,Srimangal,1999,11,34.6,16.9,0.0,82.0,0.2,1.6,9.4,41915,675761.6,687095.9,24.29,91.73,23,1999.11,0
5128,18284,Sitakunda,2013,9,36.1,25.1,496.0,87.0,2.3,5.4,5.4,41965,668856.2,504500.3,22.64,91.64,4,2013.09,1
5129,13089,Mongla,2005,10,35.5,24.8,390.0,90.0,0.4,4.5,6.6,41958,452007.3,499110.5,22.43,89.66,4,2005.1,1
5130,14250,Patuakhali,1995,7,33.6,25.9,735.0,89.0,1.3,6.8,2.7,41960,534986.1,472575.7,22.36,90.34,3,1995.07,1
5131,1379,Bogra,1949,12,28.1,13.3,6.390625,75.90625,0.685185185,0.3,7.596226415,41883,435303.7,751187.5,24.88,89.36,20,1949.12,0
5132,3665,Comilla,1955,6,32.2,25.3,270.0,86.0,2.501851852,5.5,4.927272727,41933,621445.2,596963.4,23.48,91.19,10,1955.06,0
5133,886,Bhola,1974,11,33.1,21.4,53.0,86.0,0.4,3.3,6.515151515,41951,567637.6,510271.8,22.7,90.66,5,1974.11,0
5134,12236,Maijdee Court,1959,9,32.7,25.1,424.0,89.0,1.266666667,6.1,4.951724138,41953,610851.8,524433.6,22.83,91.08,6,1959.09,1
